tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,34,0,live,ACADM,"RP4-682C21.1, ACAD1, MCAD, MCADH","acyl-CoA dehydrogenase, C-4 to C-12 straight chain","acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain|medium-chain specific acyl-CoA dehydrogenase, mitochondrial",1p31,1,NC_000001.11,75724347,75763679,plus,13,607008
9606,Homo sapiens,35,0,live,ACADS,"ACAD3, SCAD","acyl-CoA dehydrogenase, C-2 to C-3 short chain","acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain|butyryl-CoA dehydrogenase|mitochondrial short-chain specific acyl-CoA dehydrogenase|short-chain acyl-CoA dehydrogenase|short-chain specific acyl-CoA dehydrogenase, mitochondrial|unsaturated acyl-CoA reductase",12q24.31,12,NC_000012.12,120725768,120740008,plus,10,606885
9606,Homo sapiens,36,0,live,ACADSB,"RP11-162A23.1, 2-MEBCAD, ACAD7, SBCAD","acyl-CoA dehydrogenase, short/branched chain","2-methyl branched chain acyl-CoA dehydrogenase|2-methylbutyryl-coenzyme A dehydrogenase|acyl-Coenzyme A dehydrogenase, short/branched chain|short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",10q26.13,10,NC_000010.11,123008913,123058290,plus,11,600301
9606,Homo sapiens,37,0,live,ACADVL,"ACAD6, LCACD, VLCAD","acyl-CoA dehydrogenase, very long chain","acyl-Coenzyme A dehydrogenase, very long chain|very long-chain specific acyl-CoA dehydrogenase, mitochondrial",17p13.1,17,NC_000017.11,7217125,7225267,plus,22,609575
9606,Homo sapiens,38,0,live,ACAT1,"ACAT, MAT, T2, THIL",acetyl-CoA acetyltransferase 1,"acetoacetyl Coenzyme A thiolase|acetoacetyl-CoA thiolase|acetyl-CoA acetyltransferase, mitochondrial|acetyl-Coenzyme A acetyltransferase 1|mitochondrial acetoacetyl-CoA thiolase",11q22.3,11,NC_000011.10,108121531,108148168,plus,14,607809
9606,Homo sapiens,39,0,live,ACAT2,,acetyl-CoA acetyltransferase 2,"acetoacetyl Coenzyme A thiolase|acetyl-CoA acetyltransferase, cytosolic|acetyl-CoA transferase-like protein|cytosolic acetoacetyl-CoA thiolase",6q25.3,6,NC_000006.12,159761957,159779055,plus,10,100678
9606,Homo sapiens,43,0,live,ACHE,"ACEE, ARACHE, N-ACHE, YT",acetylcholinesterase (Yt blood group),Yt blood group|acetylcholinesterase|apoptosis-related acetylcholinesterase,7q22,7,NC_000007.14,100889994,100896914,minus,8,100740
9606,Homo sapiens,47,0,live,ACLY,"ACL, ATPCL, CLATP",ATP citrate lyase,ATP citrate synthase|ATP-citrate (pro-S-)-lyase|ATP-citrate synthase|citrate cleavage enzyme,17q21.2,17,NC_000017.11,41866916,41930542,minus,30,108728
9606,Homo sapiens,48,0,live,ACO1,"RP11-334P12.1, ACONS, HEL60, IREB1, IREBP, IREBP1, IRP1","aconitase 1, soluble","IRE-BP 1|aconitate hydratase, cytoplasmic|citrate hydro-lyase|cytoplasmic aconitate hydratase|epididymis luminal protein 60|ferritin repressor protein|iron regulatory protein 1|iron-responsive element binding protein 1|iron-responsive element-binding protein 1",9p21.1,9,NC_000009.12,32384603,32450836,plus,23,100880
9606,Homo sapiens,50,0,live,ACO2,"RP3-347H13.8, ACONM, ICRD","aconitase 2, mitochondrial","aconitate hydratase, mitochondrial|citrate hydro-lyase",22q13.2,22,NC_000022.11,41469125,41528989,plus,18,100850
9606,Homo sapiens,51,0,live,ACOX1,"ACOX, PALMCOX, SCOX","acyl-CoA oxidase 1, palmitoyl","AOX|acyl-CoA oxidase, straight-chain|acyl-Coenzyme A oxidase 1, palmitoyl|palmitoyl-CoA oxidase|peroxisomal acyl-coenzyme A oxidase 1|peroxisomal fatty acyl-CoA oxidase|straight-chain acyl-CoA oxidase",17q25.1,17,NC_000017.11,75941507,75979434,minus,15,609751
9606,Homo sapiens,52,0,live,ACP1,HAAP,"acid phosphatase 1, soluble",LMW-PTP|LMW-PTPase|acid phosphatase of erythrocyte|adipocyte acid phosphatase|cytoplasmic phosphotyrosyl protein phosphatase|low molecular weight cytosolic acid phosphatase|low molecular weight phosphotyrosine protein phosphatase|protein tyrosine phosphatase|red cell acid phosphatase 1,2p25,2,NC_000002.12,264869,278283,plus,7,171500
9606,Homo sapiens,53,0,live,ACP2,,"acid phosphatase 2, lysosomal",LAP|lysosomal acid phosphatase,11p12-p11,11,NC_000011.10,47239302,47248906,minus,11,171650
9606,Homo sapiens,54,0,live,ACP5,"SPENCDI, TRAP","acid phosphatase 5, tartrate resistant",TrATPase|tartrate-resistant acid ATPase|tartrate-resistant acid phosphatase type 5,19p13.2,19,NC_000019.10,11574660,11578986,minus,8,171640
9606,Homo sapiens,55,0,live,ACPP,"5'-NT, ACP-3, ACP3","acid phosphatase, prostate",5'-nucleotidase|TMPase|ecto-5'-nucleotidase|prostatic acid phosphatase|prostatic acid phosphotase|thiamine monophosphatase,3q22.1,3,NC_000003.12,132317367,132368302,plus,11,171790
9606,Homo sapiens,95,0,live,ACY1,"ACY-1D, HEL-S-5, ACY1",aminoacylase 1,N-acyl-L-amino-acid amidohydrolase|acylase|aminoacylase-1|epididymis secretory protein Li 5,3p21.1,3,NC_000003.12,51983284,51989202,plus,15,104620
9606,Homo sapiens,97,0,live,ACYP1,ACYPE,"acylphosphatase 1, erythrocyte (common) type","acylphosphatase, erythrocyte isozyme|acylphosphatase, organ-common type isozyme|acylphosphatase-1|acylphosphate phosphohydrolase 1",14q24.3,14,NC_000014.9,75053221,75069478,minus,6,600875
9606,Homo sapiens,98,0,live,ACYP2,"ACYM, ACYP","acylphosphatase 2, muscle type","acylphosphatase, muscle type isozyme|acylphosphatase-2|acylphosphate phosphohydrolase 2",2p16.2,2,NC_000002.12,54115273,54305300,plus,4,102595
9606,Homo sapiens,100,0,live,ADA,,adenosine deaminase,adenosine aminohydrolase,20q13.12,20,NC_000020.11,44619519,44651735,minus,12,608958
9606,Homo sapiens,107,0,live,ADCY1,AC1,adenylate cyclase 1 (brain),"3',5'-cyclic AMP synthetase|ATP pyrophosphate-lyase 1|Ca(2+)/calmodulin-activated adenylyl cyclase|adenyl cyclase|adenylate cyclase type 1|adenylate cyclase type I|adenylyl cyclase 1",7p13-p12,7,NC_000007.14,45574140,45723116,plus,22,103072
9606,Homo sapiens,108,0,live,ADCY2,"AC2, HBAC2",adenylate cyclase 2 (brain),"3',5'-cyclic AMP synthetase|ATP pyrophosphate-lyase 2|adenylate cyclase II|adenylate cyclase type 2|adenylate cyclase type II|adenylyl cyclase 2|type II adenylate cyclase",5p15.3,5,NC_000005.10,7396230,7830081,plus,25,103071
9606,Homo sapiens,109,0,live,ADCY3,AC3,adenylate cyclase 3,"AC-III|ATP pyrophosphate-lyase 3|adenylate cyclase type 3|adenylate cyclase type III|adenylate cyclase, olfactive type|adenylyl cyclase 3|adenylyl cyclase, type III",2p23.3,2,NC_000002.12,24819169,24919733,minus,25,600291
9606,Homo sapiens,111,0,live,ADCY5,"AC5, FDFM",adenylate cyclase 5,ATP pyrophosphate-lyase 5|adenylate cyclase type 5|adenylate cyclase type V|adenylyl cyclase 5,3q21.1,3,NC_000003.12,123282296,123449077,minus,25,600293
9606,Homo sapiens,112,0,live,ADCY6,AC6,adenylate cyclase 6,ATP pyrophosphate-lyase 6|adenylate cyclase type 6|adenylate cyclase type VI|adenylyl cyclase 6|ca(2+)-inhibitable adenylyl cyclase,12q12-q13,12,NC_000012.12,48766192,48789037,minus,23,600294
9606,Homo sapiens,113,0,live,ADCY7,AC7,adenylate cyclase 7,ATP pyrophosphate-lyase 7|adenylate cyclase type 7|adenylate cyclase type VII|adenylyl cyclase 7,16q12.1,16,NC_000016.10,50244919,50318135,plus,31,600385
9606,Homo sapiens,114,0,live,ADCY8,"AC8, ADCY3, HBAC1",adenylate cyclase 8 (brain),"ATP pyrophosphate-lyase 8|adenylate cyclase type 8|adenylate cyclase type VIII|adenylyl cyclase 8|adenylyl cyclase-8, brain|ca(2+)/calmodulin-activated adenylyl cyclase",8q24,8,NC_000008.11,130780300,131040766,minus,18,103070
9606,Homo sapiens,115,0,live,ADCY9,AC9,adenylate cyclase 9,ATP pyrophosphate-lyase 9|adenylate cyclase type 9|adenylate cyclase type IX|adenylyl cyclase 9|type IX ATP pyrophosphate-lyase,16p13.3,16,NC_000016.10,3962649,4116185,minus,11,603302
9606,Homo sapiens,124,0,live,ADH1A,ADH1,"alcohol dehydrogenase 1A (class I), alpha polypeptide","ADH, alpha subunit|alcohol dehydrogenase 1 (class I), alpha polypeptide|alcohol dehydrogenase 1A|alcohol dehydrogenase subunit alpha|aldehyde reductase",4q23,4,NC_000004.12,99276366,99291028,minus,9,103700
9606,Homo sapiens,125,0,live,ADH1B,"ADH2, HEL-S-117","alcohol dehydrogenase 1B (class I), beta polypeptide","ADH, beta subunit|alcohol dehydrogenase 1B|alcohol dehydrogenase 2 (class I), beta polypeptide|alcohol dehydrogenase subunit beta|aldehyde reductase|epididymis secretory protein Li 117",4q23,4,NC_000004.12,99306387,99321442,minus,10,103720
9606,Homo sapiens,126,0,live,ADH1C,ADH3,"alcohol dehydrogenase 1C (class I), gamma polypeptide","ADH, gamma subunit|alcohol dehydrogenase 1C|alcohol dehydrogenase 3 (class I), gamma polypeptide|aldehyde reductase",4q23,4,NC_000004.12,99336492,99352760,minus,9,103730
9606,Homo sapiens,127,0,live,ADH4,"ADH-2, HEL-S-4","alcohol dehydrogenase 4 (class II), pi polypeptide",alcohol dehydrogenase 4|alcohol dehydrogenase class II pi chain|aldehyde reductase|epididymis secretory protein Li 4,4q22,4,NC_000004.12,99123681,99144298,minus,9,103740
9606,Homo sapiens,128,0,live,ADH5,"ADH-3, ADHX, FALDH, FDH, GSH-FDH, GSNOR","alcohol dehydrogenase 5 (class III), chi polypeptide","S-(hydroxymethyl)glutathione dehydrogenase|alcohol dehydrogenase (class III), chi polypeptide|alcohol dehydrogenase class chi chain|alcohol dehydrogenase class-3|alcohol dehydrogenase class-III|formaldehyde dehydrogenase|glutathione-dependent formaldehyde dehydrogenase",4q23,4,NC_000004.12,99070978,99088788,minus,9,103710
9606,Homo sapiens,130,0,live,ADH6,ADH-5,alcohol dehydrogenase 6 (class V),alcohol dehydrogenase 6|aldehyde reductase,4q23,4,NC_000004.12,99202638,99219246,minus,9,103735
9606,Homo sapiens,131,0,live,ADH7,ADH4,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",alcohol dehydrogenase VII|alcohol dehydrogenase class 4 mu/sigma chain|alcohol dehydrogenase class IV mu/sigma chain|alcohol dehydrogenase-7|class IV sigma-1 alcohol dehydrogenase|class IV sigmasigma alcohol dehydrogenase|gastric alcohol dehydrogenase|retinol dehydrogenase,4q23-q24,4,NC_000004.12,99412261,99435510,minus,10,600086
9606,Homo sapiens,132,0,live,ADK,AK,adenosine kinase,adenosine 5'-phosphotransferase,10q11-q24,10,NC_000010.11,74151185,74709303,plus,13,102750
9606,Homo sapiens,158,0,live,ADSL,"RP5-1042K10.8, AMPS, ASASE, ASL",adenylosuccinate lyase,adenylosuccinase,22q13.2,22,NC_000022.11,40346500,40366573,plus,13,608222
9606,Homo sapiens,159,0,live,ADSS,"RP11-518L10.4, ADEH 2, ADSS",adenylosuccinate synthase,"AMPSase 2|IMP--aspartate ligase 2|L-type adenylosuccinate synthetase|adenylosuccinate synthetase (Ade(-)H-complementing)|adenylosuccinate synthetase isozyme 2|adenylosuccinate synthetase, acidic isozyme|adenylosuccinate synthetase, liver isozyme",1q44,1,NC_000001.11,244408492,244452134,minus,13,103060
9606,Homo sapiens,175,0,live,AGA,"AGU, ASRG, GA",aspartylglucosaminidase,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase|N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase|aspartylglucosylamine deaspartylase|glycosylasparaginase,4q34.3,4,NC_000004.12,177430774,177442503,minus,9,613228
9606,Homo sapiens,178,0,live,AGL,GDE,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","amylo-1, 6-glucosidase, 4-alpha-glucanotransferase|glycogen debrancher|glycogen debranching enzyme",1p21,1,NC_000001.11,99850077,99924023,plus,36,610860
9606,Homo sapiens,189,0,live,AGXT,"AGT, AGT11, PH1, SPAT, SPT, TLH6, AGXT",alanine-glyoxylate aminotransferase,L-alanine: glyoxylate aminotransferase 1|alanine--glyoxylate aminotransferase|hepatic peroxisomal alanine:glyoxylate aminotransferase|serine--pyruvate aminotransferase|serine-pyruvate aminotransferase|serine:pyruvate aminotransferase,2q37.3,2,NC_000002.12,240868745,240879119,plus,11,604285
9606,Homo sapiens,191,0,live,AHCY,"SAHH, adoHcyase",adenosylhomocysteinase,S-adenosyl-L-homocysteine hydrolase|S-adenosylhomocysteine hydrolase,20q11.22,20,NC_000020.11,34280265,34311802,minus,13,180960
9606,Homo sapiens,203,0,live,AK1,"RP11-203J24.1, HTL-S-58j",adenylate kinase 1,AK 1|ATP-AMP transphosphorylase 1|ATP:AMP phosphotransferase|adenylate kinase isoenzyme 1|adenylate monophosphate kinase|myokinase|testis secretory sperm binding protein Li 58j,9q34.1,9,NC_000009.12,127866480,127877743,minus,8,103000
9606,Homo sapiens,204,0,live,AK2,"ADK2, AK 2",adenylate kinase 2,"ATP-AMP transphosphorylase 2|ATP:AMP phosphotransferase|adenylate kinase 2, mitochondrial|adenylate kinase isoenzyme 2, mitochondrial|adenylate monophosphate kinase",1p34,1,NC_000001.11,33007940,33036911,minus,8,103020
9606,Homo sapiens,205,0,live,AK4,"RP4-686B20.1, AK 4, AK3, AK3L1, AK3L2",adenylate kinase 4,"ATP-AMP transphosphorylase|GTP:AMP phosphotransferase AK4, mitochondrial|adenylate kinase 3-like 1|adenylate kinase 4, mitochondrial|adenylate kinase isoenzyme 4, mitochondrial|mitochondrial adenylate kinase-3|nucleoside-triphosphate-adenylate kinase",1p31.3,1,NC_000001.11,65147549,65232145,plus,7,103030
9606,Homo sapiens,206,0,live,AK4P1,AK3P1,adenylate kinase 4 pseudogene 1,,17q11.2,17,NC_000017.11,31345314,31347501,plus,0,
9606,Homo sapiens,210,0,live,ALAD,"RP11-10I9.1H, PBGS, ALAD",aminolevulinate dehydratase,"aminolevulinate, delta-, dehydratase|delta-aminolevulinic acid dehydratase|porphobilinogen synthase",9q33.1,9,NC_000009.12,113386312,113401338,minus,12,125270
9606,Homo sapiens,211,0,live,ALAS1,"OK/SW-cl.121, ALAS, ALAS3, ALASH, MIG4","aminolevulinate, delta-, synthase 1","5-aminolevulinate synthase, nonspecific, mitochondrial|5-aminolevulinic acid synthase 1|ALAS-H|delta-ALA synthase 1|delta-aminolevulinate synthase 1|migration-inducing protein 4",3p21.1,3,NC_000003.12,52198083,52214327,plus,12,125290
9606,Homo sapiens,212,0,live,ALAS2,"RP5-884M20.1, ALAS-E, ALASE, ANH1, ASB, XLDPP, XLEPP, XLSA","aminolevulinate, delta-, synthase 2","5-aminolevulinate synthase, erythroid-specific, mitochondrial|5-aminolevulinic acid synthase 2|delta-ALA synthase 2|delta-ALA synthetase|delta-aminolevulinate synthase 2",Xp11.21,X,NC_000023.11,55009055,55031064,minus,12,301300
9606,Homo sapiens,215,0,live,ABCD1,"ABC42, ALD, ALDP, AMN","ATP-binding cassette, sub-family D (ALD), member 1",ATP-binding cassette sub-family D member 1|adrenoleukodystrophy protein,Xq28,X,NC_000023.11,153724868,153744762,plus,10,300371
9606,Homo sapiens,216,0,live,ALDH1A1,"RP11-151D14.2, ALDC, ALDH-E1, ALDH1, ALDH11, HEL-9, HEL-S-53e, HEL12, PUMB1, RALDH1","aldehyde dehydrogenase 1 family, member A1","ALDH class 1|ALHDII|RALDH 1|acetaldehyde dehydrogenase 1|aldehyde dehydrogenase 1, soluble|aldehyde dehydrogenase, liver cytosolic|epididymis luminal protein 12|epididymis luminal protein 9|epididymis secretory sperm binding protein Li 53e|retinal dehydrogenase 1|retinaldehyde dehydrogenase 1",9q21.13,9,NC_000009.12,72900662,72953317,minus,13,100640
9606,Homo sapiens,217,0,live,ALDH2,"ALDH-E2, ALDHI, ALDM",aldehyde dehydrogenase 2 family (mitochondrial),"ALDH class 2|acetaldehyde dehydrogenase 2|aldehyde dehydrogenase, mitochondrial|liver mitochondrial ALDH|nucleus-encoded mitochondrial aldehyde dehydrogenase 2",12q24.2,12,NC_000012.12,111766887,111809985,plus,13,100650
9606,Homo sapiens,218,0,live,ALDH3A1,"ALDH3, ALDHIII","aldehyde dehydrogenase 3 family, member A1","aldehyde dehydrogenase isozyme 3|aldehyde dehydrogenase type III|aldehyde dehydrogenase, dimeric NADP-preferring|stomach aldehyde dehydrogenase",17p11.2,17,NC_000017.11,19737984,19748433,minus,13,100660
9606,Homo sapiens,219,0,live,ALDH1B1,"ALDH5, ALDHX","aldehyde dehydrogenase 1 family, member B1","ALDH class 2|acetaldehyde dehydrogenase 5|aldehyde dehydrogenase 5|aldehyde dehydrogenase X, mitochondrial",9p11.1,9,NC_000009.12,38392664,38398665,plus,2,100670
9606,Homo sapiens,220,0,live,ALDH1A3,"ALDH1A6, ALDH6, MCOP8, RALDH3","aldehyde dehydrogenase 1 family, member A3",RALDH-3|acetaldehyde dehydrogenase 6|aldehyde dehydrogenase 6|aldehyde dehydrogenase family 1 member A3|retinaldehyde dehydrogenase 3,15q26.3,15,NC_000015.10,100879804,100916626,plus,13,600463
9606,Homo sapiens,221,0,live,ALDH3B1,"ALDH4, ALDH7","aldehyde dehydrogenase 3 family, member B1",aldehyde dehydrogenase 3B1|aldehyde dehydrogenase 7|aldehyde dehydrogenase family 3 member B1,11q13,11,NC_000011.10,68008578,68029276,plus,11,600466
9606,Homo sapiens,222,0,live,ALDH3B2,ALDH8,"aldehyde dehydrogenase 3 family, member B2",acetaldehyde dehydrogenase 8|aldehyde dehydrogenase 8|aldehyde dehydrogenase family 3 member B2,11q13,11,NC_000011.10,67662162,67681214,minus,11,601917
9606,Homo sapiens,223,0,live,ALDH9A1,"ALDH4, ALDH7, ALDH9, E3, TMABADH","aldehyde dehydrogenase 9 family, member A1",4-trimethylaminobutyraldehyde dehydrogenase|R-aminobutyraldehyde dehydrogenase|aldehyde dehydrogenase (NAD+)|aldehyde dehydrogenase E3 isozyme|aldehyde dehydrogenase family 9 member A1|gamma-aminobutyraldehyde dehydrogenase,1q23.1,1,NC_000001.11,165662212,165698663,minus,11,602733
9606,Homo sapiens,224,0,live,ALDH3A2,"ALDH10, FALDH, SLS","aldehyde dehydrogenase 3 family, member A2",aldehyde dehydrogenase 10|aldehyde dehydrogenase family 3 member A2|fatty aldehyde dehydrogenase|microsomal aldehyde dehydrogenase,17p11.2,17,NC_000017.11,19648751,19677595,plus,11,609523
9606,Homo sapiens,225,0,live,ABCD2,"ABC39, ALDL1, ALDR, ALDRP, hALDR","ATP-binding cassette, sub-family D (ALD), member 2",ATP-binding cassette sub-family D member 2|adrenoleukodystrophy-like 1|adrenoleukodystrophy-related protein,12q12,12,NC_000012.12,39551220,39620041,minus,10,601081
9606,Homo sapiens,226,0,live,ALDOA,"ALDA, GSD12, HEL-S-87p","aldolase A, fructose-bisphosphate","epididymis secretory sperm binding protein Li 87p|fructose-1,6-bisphosphate triosephosphate-lyase|fructose-bisphosphate aldolase A|lung cancer antigen NY-LU-1|muscle-type aldolase",16p11.2,16,NC_000016.10,30053090,30070420,plus,16,103850
9606,Homo sapiens,229,0,live,ALDOB,"RP11-490D19.1, ALDB, ALDO2","aldolase B, fructose-bisphosphate","aldolase 2|aldolase B, fructose-bisphosphatase|fructose-bisphosphate aldolase B|liver-type aldolase",9q21.3-q22.2,9,NC_000009.12,101420560,101435780,minus,9,612724
9606,Homo sapiens,230,0,live,ALDOC,ALDC,"aldolase C, fructose-bisphosphate","aldolase 3|brain-type aldolase|fructoaldolase C|fructose-1,6-biphosphate triosephosphate lyase|fructose-bisphosphate aldolase C",17cen-q12,17,NC_000017.11,28573115,28577264,minus,10,103870
9606,Homo sapiens,231,0,live,AKR1B1,"ADR, ALDR1, ALR2, AR","aldo-keto reductase family 1, member B1 (aldose reductase)",Lii5-2 CTCL tumor antigen|aldehyde reductase 1|aldo-keto reductase family 1 member B1|aldose reductase|low Km aldose reductase,7q35,7,NC_000007.14,134442355,134459136,minus,10,103880
9606,Homo sapiens,239,0,live,ALOX12,"12-LOX, 12S-LOX, LOG12",arachidonate 12-lipoxygenase,"12(S)-lipoxygenase|12S-lipoxygenase|arachidonate 12-lipoxygenase, 12S-type|lipoxin synthase 12-LO|platelet 12-LOX|platelet-type 12-lipoxygenase|platelet-type lipoxygenase 12",17p13.1,17,NC_000017.11,6996065,7010736,plus,14,152391
9606,Homo sapiens,240,0,live,ALOX5,"RP11-67C2.3, 5-LO, 5-LOX, 5LPG, LOG5",arachidonate 5-lipoxygenase,LOX-5|arachidonic 5-lipoxygenase alpha-10 isoform|arachidonic 5-lipoxygenase delta-10-13 isoform|arachidonic 5-lipoxygenase delta-13 isoform|arachidonic 5-lipoxygenase delta-p10 isoform|arachidonic acid 5-lipoxygenase|leukotriene A4 synthase,10q11.2,10,NC_000010.11,45374176,45446119,plus,14,152390
9606,Homo sapiens,242,0,live,ALOX12B,"12R-LOX, ARCI2","arachidonate 12-lipoxygenase, 12R type","12R-lipoxygenase|arachidonate 12-lipoxygenase, 12R-type|epidermis-type lipoxygenase 12",17p13.1,17,NC_000017.11,8072636,8087703,minus,15,603741
9606,Homo sapiens,246,0,live,ALOX15,"12-LOX, 15-LOX-1, 15LOX-1",arachidonate 15-lipoxygenase,"12/15-lipoxygenase|15-LOX|15-lipooxygenase-1|arachidonate 12-lipoxygenase, leukocyte-type|arachidonate omega-6 lipoxygenase",17p13.3,17,NC_000017.11,4630919,4641665,minus,14,152392
9606,Homo sapiens,247,0,live,ALOX15B,15-LOX-2,"arachidonate 15-lipoxygenase, type B","15-LOX-B|15S-lipoxygenase|arachidonate 15-lipoxygenase 2|arachidonate 15-lipoxygenase B|arachidonate 15-lipoxygenase type II|arachidonate 15-lipoxygenase, second type|arachidonate omega(6) lipoxygenase|linoleate 13-lipoxygenase 15-LOb",17p13.1,17,NC_000017.11,8039040,8049134,plus,14,603697
9606,Homo sapiens,248,0,live,ALPI,IAP,"alkaline phosphatase, intestinal",Kasahara isozyme|alkaline phosphomonoesterase|glycerophosphatase|intestinal alkaline phosphatase|intestinal-type alkaline phosphatase,2q37.1,2,NC_000002.12,232456123,232460745,plus,11,171740
9606,Homo sapiens,249,0,live,ALPL,"AP-TNAP, APTNAP, HOPS, TNAP, TNSALP","alkaline phosphatase, liver/bone/kidney","alkaline phosphatase liver/bone/kidney isozyme|alkaline phosphatase, tissue-nonspecific isozyme|alkaline phosphomonoesterase|glycerophosphatase|liver/bone/kidney-type alkaline phosphatase|tissue-nonspecific ALP",1p36.12,1,NC_000001.11,21508982,21578412,plus,15,171760
9606,Homo sapiens,250,0,live,ALPP,"ALP, PALP, PLAP, PLAP-1","alkaline phosphatase, placental","Regan isozyme|alkaline phosphatase Regan isozyme|alkaline phosphatase, placental type|alkaline phosphomonoesterase|glycerophosphatase|placental alkaline phosphatase 1",2q37,2,NC_000002.12,232378534,232382889,plus,12,171800
9606,Homo sapiens,251,0,live,ALPPL2,"ALPG, ALPPL, GCAP","alkaline phosphatase, placental-like 2","ALP-1|Nagao isozyme|alkaline phosphatase Nagao isozyme|alkaline phosphatase, placental-like|germ cell alkaline phosphatase|placental-like alkaline phosphatase|testicular and thymus alkaline phosphatase",2q37,2,NC_000002.12,232406842,232410714,plus,11,171810
9606,Homo sapiens,262,0,live,AMD1,"RP11-397G5.3, ADOMETDC, AMD, SAMDC",adenosylmethionine decarboxylase 1,S-adenosylmethionine decarboxylase 1|S-adenosylmethionine decarboxylase proenzyme,6q21,6,NC_000006.12,110814621,110895713,plus,10,180980
